 i'm john doe tag, not question
 make a donation or view additional materials from hundred of them it courses, not question
 the one and only language that can be used, not question
 game, not question
 what i would want to help you and, question
 we will be giving out what for the come in the room will have handouts for you everyday so look for them on if you come in late will normally means on in the entrance way here i know that some of you have a long walk between glasses on so the handouts will be available so when you come rather hand out come on in to class, not question
 i was like i am i've taken chemistry am quite convinced chemistry bears is not relevant to biology and anyway i was told i was wrong i was sure i was right i took chemistry and realized that, not question
 i'm not sure when it's gonna be for all of you, not question
 because i want you to make the world a better place for my for my daughter, not question
 we'll pressing problem then what we is out there somewhere that is only we knew the molecular weight problems of the world and the salt, not question
 actually can become a super hero by worrying about those chemical principles and then we can drive you to the greater than okay as well so i want to teach you how to be a superhero i also gonna teach you about esl utility acid base and oxidation reduction reactions, not question
 but is its mit so, not question
 so so nice and i were classmates, not question
 so we could row and i were classmates, not question
 and then molecules can react, not question
 so creating docs to be used in surgery he knows the doctors got the right amount of a tumor you don't want to take more flash than you need but you don't wanna miss some of the cancer so you wanna image exactly where the cancer is chemistry is designing sensors to find explosives in war zones this is really important problem right now, not question
 so this is the summary for today so today is really more about announcements and what we're gonna cover but there some features of today's handouts that will that you can use throughout, not question
 you wouldn't be wearing the clothes are very pretty much a chemist figured out the material that you're wearing, not question
 if you wanna spell i'm it gotta learn about the ideal gas law, not question
 another thing that i didn't appreciate about chemistry was in the lab course i had we had a strong basin we gas and we were drop drop drop drop drop until i turn pink and we can calculate the molecular weight of an unknown be passing and i ask myself, not question
 that days class, not question
 some of you may not find your love for chemistry until next year or senior year and um it or evening graduate school or even when you have a job later on, not question
 i would like you to apply chemistry, not question
 i also want you to know enough chemistry so you can do your opt in chemistry lab and we'll talk more about the undergraduate research program throughout the course, not question
 i heard the correct answer out there, not question
 because i think it sends it says something very important, not question
 restart the quest, not question
 boy i'd i'm an engineer now and i have to work with him is all the time and i really wish i had paid more attention in chemistry class because we need to work together and i need to understand more what they're doing so some people do not find their love for their appreciation for chemistry till they have a career later in life so, not question
 so we need to learn about matter and we need to know how matter reacts, not question
 it's partly why think eight dollars is a good price to spend on these hands three times the great but they're all dead, not question
 so you'll be hearing and this is a series i call in their own words, not question
 so am i am happened running you're gonna be learning more about me as this morning goes on everybody should have a handout if you do not have handout erin will come around and give you one if you just raise your hands on those of you in the back just came in, not question
 so what chemical principles are you gonna be morning that will help you solve these real world problems, question
 visit mi to open course ware at c w dot am it dot edu, not question
 so i'm not showing you some different pictures in this class i'm gonna be showing you these pictures so no pictures will be there to but every time i saw you again like i want to show you someone's alive so the living tennis people were using chemistry every day of their lives and i'm not showing short videos of these people tell you how they're using chemistry and what chemistry is being used for today, not question
 not really a message that chemistry is not living disciplined chemistry with something that people use to do and it was exciting time but when i got there power means they moved on to other females, not question
 so who is this, question
 and then i went to college and they said you have to take chemistry of your thinking of a bio psychology major, not question
 alright so without chemistry you wouldn't be alive your body or series of chemical reactions, not question
 so we're gonna talk about how they react and whether reactions gonna go is about thermal dynamics is it's going to be spontaneous but then we also need to know if it's faster if it's slow that's kinetic summer going to cover both of those things, not question
 when you have a paper that might be currently writing on without chemistry, not question
 None, not question
 what do you think, question
 i, not question
 starting pretty simple that's why i want, not question
 so you can look who's next to and figure out you know who in your bro is going to be that famous person that one day you can say yes i was, not question
 so what is chemistry research chemistry research is all these following things, question
 so i'm, not question
 we went to college to study, not question
 sometimes when i'm traveling around and as a professor i travel the world and get fox on chatting with some on an airplane and or on a bus or something and they say what do you do and then i say oh you know i teach chemistry and i was kind of watch the reaction to that and some of them are like oh chemistry and other people say, question
 None, not question
 but if you have not found it yet i'm hoping to find a connection york connection to chemistry what about chemistry relates to what you want to do in the future and one reason and i do not appreciate chemistry in high school if i don't really understand who penis work and i didn't really understand what chemistry what's what people use chemistry for and part of the reason i think were these pictures that are often shown in courses in intro courses for chemistry and in your intro textbooks, question
 spell and nineteen without chemistry we have the am from physics ny for math and we have the tea from chemistry, not question
 i want to appreciate how chemistry is used to solve real world problems to make informed decisions about your health about the environment and energy and science policy and i want you to be able to advance science engineering through the application of chemistry principles, not question
 in the first half of the course we're gonna start with atomic theory there is going to be a little bit of history and fault and not talking about the discovery of the nucleus on electrons protons and so were gonna have a little bit of history and some cool demos we're gonna move on to the periodic table that's the chemists toolbox those are the elements that we can combine to make things and we combine them to make things they need to bond so we're gonna talk about bonding and they're gonna for molecules and we need to think about the structures of those molecules cuz the structures dictate the properties of out of those molecules about an hour, not question
 memories lecture summaries will always have the reading for the class, not question
 i would schedule i was in chorus i would schedule everyone of my music lessons during the chemistry class i did everything to avoid having to attend chemistry in high school, not question
 so, not question
 this is my chemistry research is today this is what you're gonna be using chemical principles for, not question
 are making you pharmaceuticals we haven't really produce new antibiotics and a long time in this country and a lot of things that we thought used to be treatable conditions now are no longer sm treatable because we don't have it you antibiotics and, not question
 and or how to process it and i think really importantly, not question
 biology, not question
 i, not question
 can you tell me who these people are, not question
 chemical equilibrium interaction goes one way is going in the reverse direction at the same time, not question
 it open course ware continue to offer high quality educational resources for free, not question
 chemistry really should study chemistry because the major challenges of our time require chemistry knowledge to fix them treating human disease requires understanding of chemistry, not question
 bio fuels energy alternative energy that's for chemistry is using basic principles to figure out how to design better biofuels, not question
 i did not like chemistry in high school, not question
 what do you think lisa majored in, question
 me this is my college yearbook pictures so one day you will have one of these, not question
 if your still have chemistry, not question
 so what i'm hoping that you will to hear my coursing objectives ice on i get back to the is i want you to have a working knowledge of chemistry thing you can take advanced courses, not question
 in biology and materials everything and unit on transitional part of the periodic table re a higher and cobalt and copper and nickel and all those amazing elements that really allow you to do the most challenging chemical reactions on those are especially fond and if you wanna have the power of chemistry got no about the transition that's, not question
 principles in a lab it's not a chemistry lab in your drop, not question
 None, not question
 chemistry can be very different in different circumstances and that everybody can find their appreciation for chemistry and a different time in our lives some of you right now already like chemistry but a lot of you probably have not found your love for chemistry yeah some of you may find that love for chemistry during the semester i'm hoping it'll be a large fraction if you, not question
 and that's why i want you all to have superior knowledge because my daughter needs more than adequate knowledge is to have a better world she'd superior knowledge that's my goal for all of you to teach you these things don't have to be content is in fact it's fantastic if you take the knowledge of chemistry and bring it other disciplines because we're gonna need all the disciplines coming together without solid knowledge to be able to to make this world a better place all say that there are many on five eleven one superstars in this class and the pastor came in like sarah who hated chemistry and became can major and ended up getting a phd in chemical biology on all these folks have gone on using chemistry not always and is, not question
 None, not question
 so i'm not going to give you a sense of the material so we had this on our list of topics today general information we gone through course material overview on introductions to the teaching team, not question
 and then teach them the chemical principles they now to make the world a better place for my daughter, not question
 who is this, question
 it was in fact biology what do you think i went to college to study yeah some people watch my open course ware know these yes the inner drama by a psychology that's kind of like course nine on bathroom i was interested in, question
 None, not question
 people are inconsiderate meaningless you green lantern ring horse that wearing direction that you want if the green lantern pew's always greater than ten, not question
 solve the energy problem requires an understanding of chemistry and people will come up with alternative energy i'm just lost his condenser knocking destroying the environment while they do it so i really think we need people thinking about solving the energy problem care about the environment and can use chemistry to think about how we can protect the environment so why do i care so much about this and that's because yesterday morning i walked my daughter to her first day of first grade she six years old she starting school and i need people to know chemistry to make the world a better place for her so what i can do as a mother who's a chemist is fine the smartest people i can find which i don, question
 in biological engineering, not question
 now let me tell you a little more about these these lecture notes that you can bring a pen or pencil to class to write on, not question
 when you're going back over things and thinking about it you can always welcome what reading was associated with the class, not question
 question is, question
 and will be in equilibrium constant associated with that reaction but sometimes you really wanna go more in the forward direction to make the thing you wanna may see need to think about how the reaction quotient eq is related to the equilibrium constant head and the green lantern, not question
 awesome always have a reading for the next class you can read ahead which is good for the free lecture questions, not question
 None, not question
 turn all this is kind of a good intro not working this to every day we learned about iterations because we need to know if pk can speak chinese important but we don't have a ladder or not can be doing an experiment, not question
 friends yes, not question
 or drama it was biology what do you think i am injured and it was chemistry and of course we all know that lisa is an actress and i'm canister professor so start every class with this, question
 to make a donation or to view additional materials from hundreds of em it courses, not question
 None, not question
 we were in the same year, not question
 i'll be giving some of the lectures for today along with, not question
 None, not question
 okay hopefully even started and problems and zero so i open my eighty e and then follow the next set of instructions pictures are random number between the first and the and for sponsor okay now i'm actually use python to do this and this is also an example of power just like a really simple task in your life you can use computers or programming to do that because if it was a random number i might be biased because for example you might like the number eight so to choose a random number i'm going to go and say okay where's the list of responders it starts at fifteen actually starts the sixteenth that's me, not question
 there you go, not question
 so yeah i'm getting so that's probably the big thing right there should probably highlighted it but don't be afraid, not question
 it before his calculations and a half to store them somewhere great swordsman computer memory so computer also has to remember results and these days it's not uncommon to find computers with hundreds of gigabytes of storage and, not question
 so i have to be readable and understandable by others so to that and you need to write code that's, not question
 so what we sign up for the impact of knowledge in the previous owner example was the recipe right for how to find this for box so what were the three parts of the recipe one was a simple sequence of steps right number four step sprint, not question
 internet not so computers don't know what to do without right now don't know what to do with that statement but computers do not follow recipe, not question
 None, not question
 up we go, not question
 it's a picture and this is a really fast paced course and we ramp up really quickly so we do want to position you to sixteen and of course so as i was reading this is kind of think about when i was first starting the program know what help me get through my first very first programming course and this is really like a good list so the first thing was i just read the piece that's as new as they came out make sure that you know the terminology kinda just, not question
 how is someone gonna win it will cardboard before class ends right that's repaired of knowledge comes in some part of knowledge is the recipe and how to or the sequence of steps okay sorry that's just my funny for that so the sequence of steps is imperative is incredible knowledge so if i'm a machine, question
 calculate calculation types us a pervert can put these types together and define your own calculations, not question
 okay, not question
 so this is pretty much a road map of all of six triple one for six hundred as i just explained it so there's three main things we want you to get out of this course it okay the first thing is the knowledge of concepts which is pretty much true of any cost to take right class to teach you something three lectures example test how much you know this is a class in programming great, not question
 just going to the bottom, not question
 repeat the process over and over again and that's what the rest of their as doesn't keep doing this until you decide that you're close and, not question
 but we just got up okay, not question
 it was the number again zero seven eight five o get, not question
 ri lets begin says i mentioned before this and this and this lecture will be recorded froze ew so again in future lectures if you don't wanna have the back of your head show up just don't sit in this this front area here so first of all wow what a crowd you guys were finally in twenty six one hundred six are pulling me that bank so good afternoon and welcome to the very first class of six for bowl and and also six hundred this semester so my name is annabel for me and last name bell i'm lecture in the cs department, not question
 so if a computer follows this in this other than its gonna start with the gas g but say three eight or try to find this very of sixteen we're going to calculate g times jeans nine rate harass is fifty times use close-up tax will stop and cj is the answer i'm not really happy with nine being really close to sixteen right some this and i'm not stopping here i'm gonna keep going that so if it's not close enough then i'm gonna make a new gas but having g averaging gian x over ge so that's x energy here and that's the average of their and the new average is going to be my new gets hot and that's what it says and then the last step is using new gas repeat the process so there we go back to the beginning, not question
 visit mi to open course ware not w that and it dot edu, not question
 seventy five that great so i chose a random number and i'm gonna find the number in the responders she, not question
 None, not question
 so it's really about learning how to program, not question
 you would've entered a raffle okay sistema fact for today's lecture is someone will win a prize before class ends and the prize was a google cardboard right to state of the art virtual reality glasses of making a about delivered on my promise okay so that's a statement of fact but if you get super tan i'm a machine, not question
 None, not question
 and that's writing programs you need to programs are just near sometimes programs on browning make decisions for some control flow to programs so that's what the second one is going to be about, not question
 so the kind of populations that computers go there two pints of water calculations are built into the language so these are the very low level times types of calculations things like addition subtraction multiplication and so on, not question
 one thing i wanna stress and we're gonna come back to this in this this again during during this entire lecture actually is computers only know what you tell them and there's only do what you tell them to do their not magical, not question
 and not only that not only will your could be read by other people but next year maybe i'll take another course and you want to look back at some of the problems that you're reading this class you kinda want me to reread your code right if it's a big mess you might not be able to understand or understand what you what you were doing so writing reader prima could organize income is also big part and the last section is going to do with the first to actually part of the programming in introduction to programming and computer science and i thought the last one deals a little bit in there deals mostly with the computer science part introduction to programming and computer science and i am sure gonna talk about once you learn how to write programs in python how do you compare programs in python how do you know that one program is better than the other, not question
 that was fine but we're not we're not students right and we love numbers hear them it right so here's america example for that shows the difference between the cardigan part of knowledge so i want to find this word and so example declared knowledge is the square root of the number x is y six et why terms that is equal to its got but just a statement of fact it's true, not question
 go for some in class exercises which will be available on the sides and it's fun to do and it's also great if you could take notes, not question
 and once you have a language that has these sort of primitive, not question
 None, not question
 exile, not question
 okay so we're gonna choose a random number between sixteen and the and person to sixty six, not question
 okay so then, not question
 i am about on the code just singing just for future reference, not question
 the first type of knowledge is declared of knowledge and those are things like statements of fact and this is where my email came in to play if you read all the way to the bottom, not question
 it's a taxes originally sixteen, not question
 thanks, not question
 they don't have a license they just know how to perform calculations really really quickly but, not question
 and the last part of the recipe was a way to stop it you don't want to program that keeps going and going on for recipe you don't want to baking bread forever right you wanna stop at some point, not question
 that's really in particular road map of this course looks like, not question
 there was a flow of control, not question
 order will help them it open course ware continue to offer high quality educational resources for free, not question
 so here's the another them to find the square root of a number, not question
 and here's don't know anything marked it come to that so let's let's go into the types of knowledge, not question
 None, not question
 learn how to program is part of it is figuring out what what objects to create learn about these later honey represent knowledge with data structures outside the broad term for that, not question
 okay that's all for a bit and seven ministers part of the course so let's let's start by talking a lot at a high level what is the computer do so fundamentally does two things one performs calculations for the performance a lot of calculations are computers these days are really really fast a billion calculations per second is coming up not far, question
 i don't know anything except what you tell me what you tell me so i don't know i know that you tell me the statement like a, not question
 is a little bit more abstract and it deals with how do you write the code, not question
 worst case you just restart the computer and, not question
 the second part of the scores, not question
 can you create times types of calculations on the computer will be able to to perform those as well, not question
 how do you know that one program is more efficient than the other and you know that one algorithm is his is better than the other so that's where we're gonna talk about in the last part of the clippers, question
 that's the flow control, not question
 later on in in the term professor consent missing right and there will be giving some of the lectures as well okay so today we're going to go over some just basic chemistry but of course information, not question
 something and then during lectures no collector was talking about something that you suddenly remembered i saw that word and the piece that i didn't know it was will he now i know what it is right so just give it a read only to start it, not question
 last thing and i think this is what makes this class really great is we teach you how to solve problems and we do after the pieces, not question
 so there were parts where we made decisions and are because now there are parts where we repeated some steps should be and reset repeat steps one to three, not question
 if you knew programming i think the key word is practice so it's like math know or reading more you practice the better you get at it if you not gone absorb programming by watching me right programs desire to know how to program right you need to practice so download the code before letter follow along whatever i type you guys can type and i think also one of the big things is if your new to programming you're kind of afraid that you're gonna break your computer right and you can't really do that just by running anaconda and and typing in some commands so don't be afraid to just types in something and see what it does, not question
 an underlying all these is just practice so you have to just take from subway and code alot and, not question
 lauren zero v is there nothing so that's example of me being a machine right and also the same time using my phone and just my everyday life right just lecturing just to find a random number right so just in chinese python where you can just give you practice okay so, not question
 i'm could that's readable so when you write code you want to write it such that nearly company other people read it other people would you set, not question
 you have to tell them what what calculations to do, not question
 to make a donation or view additional materials from hundred of them it courses, not question
 the other thing we need you we want you to get out of it is programming skills, not question
 you'll succeed in this course it okay so what are the things we're gonna learn in this class feel like it but things are feeling this class can be divided into basically three different sections for the first one is related to these first june first i don't care, not question
 well organized modular easy to understand the, not question
 the last time, not question
 and so the same technique tells us how to determine the velocity from the acceleration since we saw that that was equivalent to an area under the curve problem, not question
 accosted, not question
 area of this truck has lloyd, not question
 and strips, not question
 now let's consider a more generally changing generation as a function of time so when papa's, not question
 alright as the integral, not question
 a change in velocity from time a to time b is equal to the limit, not question
 the notice that there is no arbitrary constant in the definite article in the indefinite integral we have an arbitrary constant but in the definite integral that arbitrary constant is determined by setting the integration limits so there's no arbitrary constant we just have, not question
 the exact area not deposit everybody exact area under the curve of the integral from to you face to the this limiting some, not question
 under the age of the curve, not question
 nice one i'm not going to the frog is because the idea of that these rectangles as well as i can the now or i make the rectangles the more easily i can fit them on the curb for each strip, not question
 a change in velocity delta v, not question
 turn, not question
 so for linearly changing acceleration, not question
 yes, not question
 acceleration, not question
 thank, not question
 with driven so d d, not question
 over the integral from tisa beta tisa be we can estimate this by breaking up the interval into a bunch of little rectangles supposedly disciplined and rectangles, not question
 as a token of time to change in velocity will still be, not question
 so, not question
 our acceleration, not question
 let's say from he over, not question
 over that time and travel, not question
 under a of tea over the time interval delta t, not question
 can be written as, not question
 two, not question
 and its related, not question
 the area, not question
 this is x equals a, not question
 None, not question
 and this time, not question
 times the width of the strap would you surpassed the same with will call that, not question
 None, not question
 a of the subject, not question
 consider function, not question
 a fax and suppose, not question
 the area, not question
 under the curve as a fax in the info from mexico, not question
 the fax, not question
 average, not question
 look something like that, not question
 over some time to build up the tv can this be written as a not acceleration because acceleration times, not question
 None, not question
 so just, not question
 one learns how to calculate the indefinite integral of various functions, not question
 this product is actually the, not question
 same so be, not question
 is equal to the empty derivative, not question
 you totally did it so as a retainer area involving the average acceleration but that's also equal to the area, not question
 this is again the area, not question
 will have the acceleration of the function of time and will want to find the velocity of the fucking time for the position as a function of time will use a technique called integration let's see how that works, not question
 any time will be, not question
 go back to let's assume that's a well behaved function by which i mean that it's continuous and different ball over the age of the rate of seven so consider g a fax, not question
 sometimes however want to go in the other direction, not question
 the process of integration that you've learned about a cactus which is the inverse of taking the derivative the inverse of differentiation i want to take a moment to summarize the basic principles of integration from tacos, not question
 so cockiness tells us how to solve this very problem had a computer definite general from the movie that you got from indefinite integration, not question
 acceleration function, not question
 let's begin by considering the function go fax with some derivative, not question
 to see this graphically, not question
 under the time change, not question
 integral of f a fax the axe evaluated from x equals a, not question
 now i suppose i want to convert this process, not question
 he said they, not question
 two x equals pizza this is the definite integral computed over some interval, not question
 and here's the time delta t to change in velocity a not, not question
 acceleration times, not question
 reach rectangular strap, not question
 just under the skirt, not question
 None, not question
 and this affects it was being the definite integral represents the area, not question
 the integral, not question
 first with the plot, not question
 times the width of that rectangle delta chi so that's the area, not question
 at fox being defined by the time it of all zero to delta chi and its area under the curve a not, not question
 time piece of j, not question
 six, not question
 this is a fifty, not question
 strips i want delta t to go to zero to jamaica is exactly what i would write is that, not question
 is equal to, not question
 a change in velocity, not question
 go fax plus, not question
 of a fax, not question
 all the area of each of the straps and so we want the acceleration at the i rectangles so that's, not question
 as well, not question
 just some general function on drawing like this which is our acceleration, not question
 t is some constant a not, not question
 no to we can to find an average acceleration over the interval from zero to delta t, not question
 notice from the diagram, not question
 the time it will shut it said be and this is, not question
 now this is a very important expression and we have a special way of writing it we can also write it, not question
 None, not question
 it's basically the area under the age of tea function going from zero to delta chi, not question
 between x equals a and x equals be, not question
 is equal to the average velocity, not question
 that's the area, not question
 of the function a of tea, not question
 so were just added figuring out what the area under the curve aids, question
 in that case we know that is constant federation, not question
 we wouldn't that sway on the right hand side is called the definite integral of a of the, not question
 out of ink is equal to the average, not question
 so to come back to the motion of objects we've shown that the change in velocity of an object can be written as the definite integral of the acceleration, not question
 as a function of time, not question
 how know meals traumatic functions lot with the functions etc, not question
 the strip is actually what were saying is that if we make the rectangles now enough we can treat the acceleration curve if they acceleration as roughly constant over that digital pen and we can make an is because we need to to make those rectangles very very now okay so not case we can estimate the total change in velocity from time to use of a to time and he said be by adding up the area of all of these retainer strips, not question
 if my plot, not question
 facts, not question
 write a for family, not question
 definitely to go, not question
 so, not question
 is still, not question
 concert, not question
 and, not question
 as an integral so we might as, not question
 honey, not question
 select suppose we want to go from this time he got caught t survey, not question
 panic and that can be any arbitrary constant, not question
 box one from here to here the change in velocity, not question
 equal to the same function of effects and this is because of the derivative of a constant is equal to zero, not question
 over the last time, not question
 a little bit if it will stick out, not question
 of the acceleration, not question
 None, not question
 it's in this is one two three four etc, not question
 be added to move it evaluate it acts equals me and this turns out to be, not question
 of tea of and i, not question
 okay so in that case we write that the change in velocity cells a the ssid be minus the survey of attainable also going from time a to time b, not question
 the area under the curve a of the over the time and were interested in, not question
 of the sum from j equals one to and, not question
 then the change in velocity, not question
 is, not question
 what's difference, question
 times delta t is just the area of this box, not question
 nope that if i had a constant to go fax i'll still get the same derivative, not question
 at the top, not question
 as jay goes from one to ten, not question
 cockiness also shows us how to compute the deck fitted will, not question
 None, not question
 hell to the, not question
 call this time, not question
 None, not question
 know for a fine i really should write this as approximately two because for a finite number of retainer strips this is just an approximation because i mentioned the rectangles don't exactly fit under the current they can't because the rectangle doesn't have a kirby top but the function is curved but the narrower and make the rectangles will probably larger i make an, not question
 in this way because the change in velocity from that initial velocity is given by a non hostile to the, not question
 and therefore that, not question
 this is my, not question
 the have to drive of, not question
 what's the cause and, question
 the film, not question
 so if we know the velocity at times zero and we know the center because acceleration a not we can calculate the velocity at me later talking, not question
 acceleration, not question
 left hand side of this we call an indefinite integral, not question
 six hundred h and misses tonic will zero suppose acceleration is increasing willy and all, not question
 add with of about that is g a fax, not question
 because this is curved graph i can't get the right angle to fit exactly, not question
 g of fax plus, not question
 is equal to, not question
 my function, not question
 the better the approximation will be so what what i want to do is go to the limit of an infinite number of rectangles or it will only the limit of infinitesimal in our own, not question
 suppose we have a constant acceleration, not question
 to change in velocity delta v over sometime it to full, not question
 plot acceleration vs time, not question
 after ten and with each one, not question
 the t, not question
 in the interval, not question
 under the curve, not question
 people to another function which i'll call after effects now, not question
 is my constant acceleration, not question
 d two evaluated from, not question
 suppose we have, not question
 no in calculus, not question
 and so, not question
 consider a slightly more complicated example suppose the acceleration is in constant but is changing manually, not question
 not having separation, not question
 then i can write that the empty derivative of f of x, not question
 until we see that if the derivative of g of factors of a fax plus the concert, not question
 times delta t want to evaluate that limit as bill to tv goes to zero or currently as in the number of rectangles goes to infiniti, not question
 we can use differentiation to calculate its velocity and acceleration of better times essentially by taking the derivative of the position we know everything there is to know about the motion, not question
 x equals p minus, not question
 the last time delta t o because he this graphically if i, not question
 a not that say this time zero, not question
 i can draw this graphically, not question
 you can call me what it is that i'm call you a story teller and i was like, not question
 i am in six years and i kinda got a handle on it i kinda understood this is what shame as this is how it works, not question
 they have a strong sense of love and belonging, not question
 to breeze through waiting for the doctor to call after your memory, not question
 the one thing that keeps us out of connection is our fear that were not worthy of connection, not question
 i personally thought it was the trail, not question
 i have a vulnerability issue and you know and i know that won't abilities kind of the core, not question
 got him so i said here's the thing i'm struggling and she's with the struggle i said well, not question
 None, not question
 and i'm like it not discomfort upside the head and do that over and get always that's my thought was my mantra, not question
 None, not question
 that i won't, not question
 no so this is what i learned we now the owner dot, not question
 we struggle with that so much mi alone and struggling phone ability, not question
 what they had in common was a sense of courage and when a separate courage and bravery for you for a minute courage the original definition of courage when it first came into the english language it's from the latin word per, not question
 is i took all of the interviews where i saw where the gas russian people living that way and just look at those what do these people have in common and i have to have a flight office supply addiction but that's another talk and i had a million of them no colder and i had a sharpie and i was like what am i gonna call this research and the first words that came to my mind were whole-hearted, question
 angry and he okay he said what's going on and i said this is a therapist who sees there is, question
 and it stop controlling predicting this lead to, not question
 and it turned out to be shame, not question
 and folks who struggle for it and folks who are always wondering if they're good enough he was the only one variable that separated the people who have a strong sense of love and belonging and the people who really struggle for it and that was the people who have a strong sense of love and belonging, not question
 was that, not question
 the willingness, not question
 i found a therapist, not question
 None, not question
 he was just sweet talking me and was like, not question
 a shame and fear and our struggle for worthiness but it appears that also the birthplace of joy of creativity, not question
 my one year is turned into six years, not question
 hey, not question
 very intense data announces light went back hold these interviews pulled the stories pull the internet with the with the theme of the pattern, not question
 little break down which actually but we're like this and that led to a i call to break down my therapist called the spiritual lightning here so i can found better than break down but i assure you it was a break down and i had my data away and upon their presentation thing you know who you are when you call your friends and say i think and you see somebody who do you have any recommendations, question
 why not magic pixie i do i think about this for a second and who, question
 love it, not question
 so where i started was with connection because by the time your social worker for ten years what you realize is that connection is why we're here, not question
 i had the compassion, not question
 and i'm or the lights nessie clean it out organize it and put it into a bento box and so to think i have found my way, not question
 when were waiting for the call is twenty percent something out on twitter and on facebook that says how would you define portability what makes you feel vulnerable and within an hour and a half ahead hundred fifty responses, question
 this is this is what it's all about doesn't matter whether you talk to people who work in social justice and mental health and abuse and neglect what we know is that connection the ability to feel connected, not question
 my first meeting with our diana, not question
 was something that personally and professionally i felt like i needed to understand better, not question
 and chain is really easily understood as the fear of disconnection is there something about me that other people know it or see it, not question
 as you know it's like internet well you know that so i can tell you a lot about shame but had to borrow everyone else's time but here's what i can tell you that it boils down to, not question
 yo my mission to control and predict had turned up the answer that the way to live is with on ability, not question
 i'm really struggling with how to write about you on a little flyer with the struggle and she said, not question
 i want to understand them i want to hack into these things i know are important and lay the code out for everyone to see, not question
 yes, not question
 be worthy of connection the things i can tell you that it's universal we all have at the only people who don't experience shame have no capacity for human empathy or connection no one wants to talk about it and let you talk about the more you have, not question
 well what the fuck this to understand what this is saying and how this is useful, question
 there are many types contestants in this race so just algorithms with the linear runtime graphically these rough times look like a line with the slope you can imagine as a turtle the moves at a constant speed and never slows down or driving card that doesn't accelerate, not question
 it's often helpful to separate and algorithms one time be so what happens in the best case the average case and the worst case but we usually take the pessimistic view and simplify algorithms runtime two is worst case behavior, not question
 speedo covers all teleportation weather takes one second or one million years, not question
 we think the run time of algorithms as a function of the size of the input with the output is how much work is required to run the algorithm, question
 so we see that x squared and five x squared plus twelve x thirty seven orme big of each other because they're the same when we ignore the smaller terms and constance, not question
 while bigelow is important and certainly useful it isn't the end all be all big over races constant factors but sometimes those are actually important when we want to program to be performed such as a video game programmer will try to save every bit of computation even if it doesn't change the bagel run time, not question
 what may seem like the car's faster it really has the same type of speed linear which we call big of an, not question
 easy right, question
 in order to analyze the efficiency of an algorithm we generally use a technique called big ole passing talk analysis the definition of big ol is activex isn't big of go backs if and only if there is a okay and x not suffer all x greater than equal to x not at the x is less than or equal to k time she vax, not question
